section_id,label,sort_order,height_m,distance_m
A5-01,Section 1,1,,0
A5-01,Section 1,1,,1
A5-01,Section 1,1,,2
A5-01,Section 1,1,,3
A5-01,Section 1,1,,4
A5-01,Section 1,1,,5
A5-01,Section 1,1,,6
A5-01,Section 1,1,,7
A5-01,Section 1,1,,8
A5-01,Section 1,1,,9
A5-01,Section 1,1,,10
A5-01,Section 1,1,,11
A5-01,Section 1,1,,12
A5-01,Section 1,1,,13
A5-01,Section 1,1,,14
A5-01,Section 1,1,,15
A5-01,Section 1,1,,16
A5-01,Section 1,1,,17
A5-01,Section 1,1,,18
A5-01,Section 1,1,,19
A5-01,Section 1,1,,20
A5-01,Section 1,1,,21
A5-01,Section 1,1,,22
A5-01,Section 1,1,,23
A5-01,Section 1,1,,24
A5-01,Section 1,1,,25
A5-01,Section 1,1,,26
A5-01,Section 1,1,,27
A5-01,Section 1,1,,28
A5-01,Section 1,1,,29
A5-01,Section 1,1,,30
A5-01,Section 1,1,,31
A5-01,Section 1,1,,32
A5-01,Section 1,1,,33
A5-01,Section 1,1,,34
A5-01,Section 1,1,,35
A5-01,Section 1,1,,36
A5-01,Section 1,1,,37
A5-01,Section 1,1,,38
A5-01,Section 1,1,,39
A5-01,Section 1,1,,40
A5-01,Section 1,1,,41
A5-01,Section 1,1,,42
A5-01,Section 1,1,,43
A5-01,Section 1,1,,44
A5-01,Section 1,1,,45
A5-01,Section 1,1,,46
A5-01,Section 1,1,,47
A5-01,Section 1,1,13.54,48
A5-01,Section 1,1,10.74,49
A5-01,Section 1,1,9.5,50
A5-01,Section 1,1,17.8,51
A5-01,Section 1,1,18.33,52
A5-01,Section 1,1,18.62,53
A5-01,Section 1,1,19.44,54
A5-01,Section 1,1,19.92,55
A5-01,Section 1,1,20.46,56
A5-01,Section 1,1,20.07,57
A5-01,Section 1,1,19.43,58
A5-01,Section 1,1,17.82,59
A5-01,Section 1,1,18.63,60
A5-01,Section 1,1,18.02,61
A5-01,Section 1,1,11.31,62
A5-01,Section 1,1,10.69,63
A5-01,Section 1,1,10.58,64
A5-01,Section 1,1,10.43,65
A5-01,Section 1,1,10.23,66
A5-01,Section 1,1,9.33,67
A5-01,Section 1,1,9.27,68
A5-01,Section 1,1,9.2,69
A5-01,Section 1,1,9.17,70
A5-01,Section 1,1,9.1,71
A5-01,Section 1,1,9.08,72
A5-01,Section 1,1,9.11,73
A5-01,Section 1,1,9.03,74
A5-01,Section 1,1,9.16,75
A5-01,Section 1,1,10.2,76
A5-01,Section 1,1,10.33,77
A5-01,Section 1,1,9.79,78
A5-01,Section 1,1,10.42,79
A5-01,Section 1,1,10.38,80
A5-01,Section 1,1,9.34,81
A5-01,Section 1,1,8.26,82
A5-01,Section 1,1,8.14,83
A5-01,Section 1,1,8,84
A5-01,Section 1,1,7.84,85
A5-01,Section 1,1,9.13,86
A5-01,Section 1,1,9.33,87
A5-01,Section 1,1,8.85,88
A5-01,Section 1,1,7.09,89
A5-01,Section 1,1,6.95,90
A5-01,Section 1,1,6.78,91
A5-01,Section 1,1,6.65,92
A5-01,Section 1,1,6.59,93
A5-01,Section 1,1,3.35,94
A5-01,Section 1,1,3.16,95
A5-01,Section 1,1,2.99,96
A5-01,Section 1,1,2.9,97
A5-01,Section 1,1,2.77,98
A5-01,Section 1,1,2.65,99
A5-01,Section 1,1,2.53,100
A5-01,Section 1,1,2.41,101
A5-01,Section 1,1,2.3,102
A5-01,Section 1,1,2.18,103
A5-01,Section 1,1,2.05,104
A5-01,Section 1,1,1.93,105
A5-01,Section 1,1,1.82,106
A5-01,Section 1,1,1.73,107
A5-01,Section 1,1,1.65,108
A5-01,Section 1,1,1.58,109
A5-01,Section 1,1,1.51,110
A5-01,Section 1,1,1.46,111
A5-01,Section 1,1,1.4,112
A5-01,Section 1,1,1.34,113
A5-01,Section 1,1,1.29,114
A5-01,Section 1,1,1.23,115
A5-01,Section 1,1,1.17,116
A5-01,Section 1,1,1.11,117
A5-01,Section 1,1,1.07,118
A5-01,Section 1,1,1.02,119
A5-01,Section 1,1,0.97,120
A5-01,Section 1,1,0.92,121
A5-01,Section 1,1,0.88,122
A5-01,Section 1,1,0.82,123
A5-01,Section 1,1,0.77,124
A5-01,Section 1,1,0.72,125
A5-01,Section 1,1,0.67,126
A5-01,Section 1,1,0.6,127
A5-01,Section 1,1,0.55,128
A5-01,Section 1,1,0.51,129
A5-01,Section 1,1,0.45,130
A5-01,Section 1,1,0.4,131
A5-01,Section 1,1,0.35,132
A5-01,Section 1,1,0.29,133
A5-01,Section 1,1,0.23,134
A5-01,Section 1,1,0.18,135
A5-01,Section 1,1,0.13,136
A5-01,Section 1,1,0.07,137
A5-01,Section 1,1,0,138
A5-01,Section 1,1,-0.07,139
A5-01,Section 1,1,-0.14,140
A5-01,Section 1,1,-0.2,141
A5-01,Section 1,1,-0.26,142
A5-01,Section 1,1,-0.31,143
A5-01,Section 1,1,-0.37,144
A5-01,Section 1,1,-0.43,145
A5-01,Section 1,1,-0.48,146
A5-01,Section 1,1,-0.52,147
A5-01,Section 1,1,-0.57,148
A5-01,Section 1,1,-0.64,149
A5-01,Section 1,1,-0.7,150
A5-01,Section 1,1,-0.76,151
A5-01,Section 1,1,-0.81,152
A5-01,Section 1,1,-0.85,153
A5-01,Section 1,1,-0.9,154
A5-01,Section 1,1,-0.95,155
A5-01,Section 1,1,-0.99,156
A5-01,Section 1,1,-1.01,157
A5-01,Section 1,1,-1.07,158
A5-01,Section 1,1,-1.13,159
A5-01,Section 1,1,-1.21,160
A5-01,Section 1,1,-1.28,161
A5-01,Section 1,1,-1.35,162
A5-01,Section 1,1,-1.43,163
A5-01,Section 1,1,-1.52,164
A5-01,Section 1,1,-1.58,165
A5-01,Section 1,1,-1.65,166
A5-01,Section 1,1,-1.72,167
A5-01,Section 1,1,-1.8,168
A5-01,Section 1,1,-1.87,169
A5-01,Section 1,1,-1.93,170
A5-01,Section 1,1,-1.98,171
A5-01,Section 1,1,-2.04,172
A5-01,Section 1,1,-2.11,173
A5-01,Section 1,1,-2.19,174
A5-01,Section 1,1,-2.26,175
A5-01,Section 1,1,-2.33,176
A5-01,Section 1,1,-2.41,177
A5-01,Section 1,1,-2.46,178
A5-01,Section 1,1,-2.53,179
A5-01,Section 1,1,-2.59,180
A5-01,Section 1,1,-2.67,181
A5-01,Section 1,1,-2.72,182
A5-01,Section 1,1,-2.79,183
A5-01,Section 1,1,-2.83,184
A5-01,Section 1,1,-2.91,185
A5-01,Section 1,1,-2.94,186
A5-01,Section 1,1,-2.94,187
A5-01,Section 1,1,-2.96,188
A5-01,Section 1,1,-3,189
A5-01,Section 1,1,-2.94,190
A5-01,Section 1,1,-3.05,191
A5-01,Section 1,1,-3.21,192
A5-01,Section 1,1,-4.16,193
A5-01,Section 1,1,-4.97,194
A5-01,Section 1,1,-5.33,195
A5-01,Section 1,1,-5.16,196
A5-01,Section 1,1,-8.65,197
A5-01,Section 1,1,-8.98,198
A5-01,Section 1,1,-7.66,199
A5-01,Section 1,1,-15.51,200
A5-01,Section 1,1,-15.99,201
A5-01,Section 1,1,-15.27,202
